Country,Beer Per Capita,Spirit Per Capita ,Wine Per Capita,Total_litres_of_pure_alcohol
Belarus,142,373,42,14.4
Lithuania,343,244,56,12.9
Andorra,245,138,312,12.4
Grenada,199,438,28,11.9
France,127,151,370,11.8
Czech Republic,361,170,134,11.8
Russian Federation,247,326,73,11.5
Slovakia,196,293,116,11.4
Luxembourg,236,133,271,11.4
Ireland,313,118,165,11.4
Hungary,234,215,185,11.3
Germany,346,117,175,11.3
Portugal,194,67,339,11
Poland,343,215,56,10.9
Slovenia,270,51,276,10.6
Latvia,281,216,62,10.5
Belgium,295,84,212,10.5
United Kingdom,219,126,195,10.4
Romania,297,122,167,10.4
Denmark,224,81,278,10.4
Australia,261,72,212,10.4
Bulgaria,231,252,94,10.3
Switzerland,185,100,280,10.2
Croatia,230,87,254,10.2
St. Lucia,171,315,71,10.1
Spain,284,157,112,10
Finland,263,133,97,10
South Korea,140,16,9,9.8
Austria,279,75,191,9.7
Serbia,283,131,127,9.6
Estonia,224,194,59,9.5
Netherlands,251,88,190,9.4
New Zealand,203,79,175,9.3
Nigeria,42,5,2,9.1
Ukraine,206,237,45,8.9
Gabon,347,98,59,8.9
USA,249,158,84,8.7
Greece,133,112,218,8.3
Argentina,193,25,221,8.3
Uganda,45,9,0,8.3
Cyprus,192,154,113,8.2
Canada,240,122,100,8.2
South Africa,225,76,81,8.2
St. Kitts & Nevis,194,205,32,7.7
Venezuela,333,100,3,7.7
Chile,130,124,172,7.6
Paraguay,213,117,74,7.3
Brazil,245,145,16,7.2
Panama,285,104,18,7.2
Sweden,152,60,186,7.2
Guyana,93,302,1,7.1
Niue,188,200,7,7
Japan,77,202,16,7
Palau,306,63,23,6.9
Kazakhstan,124,246,12,6.8
Belize,263,114,8,6.8
Namibia,376,3,1,6.8
Rwanda,43,2,0,6.8
Norway,169,71,129,6.7
Sierra Leone,25,3,2,6.7
Dominica,52,286,26,6.6
Malta,149,100,120,6.6
Uruguay,115,35,220,6.6
Iceland,233,61,78,6.6
Italy,85,42,237,6.5
Thailand,99,258,1,6.4
Trinidad & Tobago,197,156,7,6.4
Moldova,109,226,18,6.3
St. Vincent & the Grenadines,120,221,11,6.3
Bahamas,122,176,51,6.3
Barbados,143,173,36,6.3
Burundi,88,0,0,6.3
Dominican Republic,193,147,9,6.2
Laos,62,0,123,6.2
Peru,163,160,21,6.1
Haiti,1,326,1,5.9
Cook Islands,0,254,74,5.9
Angola,217,57,45,5.9
Equatorial Guinea,92,0,233,5.8
Cameroon,147,1,4,5.8
Tanzania,36,6,1,5.7
Suriname,128,178,7,5.6
Mexico,238,68,5,5.5
Georgia,52,100,149,5.4
Botswana,173,35,35,5.4
China,79,192,8,5
Mongolia,77,189,8,4.9
Albania,89,132,54,4.9
Montenegro,31,114,128,4.9
Antigua & Barbuda,102,128,45,4.9
Zimbabwe,64,18,4,4.7
Swaziland,90,2,2,4.7
Philippines,71,186,1,4.6
Bosnia-Herzegovina,76,173,8,4.6
Costa Rica,149,87,11,4.4
Burkina Faso,25,7,7,4.3
Cuba,93,137,5,4.2
Colombia,159,76,3,4.2
Ecuador,162,74,3,4.2
Sao Tome & Principe,56,38,140,4.2
Seychelles,157,25,51,4.1
Cabo Verde,144,56,16,4
Cote d'Ivoire,37,1,7,4
Macedonia,106,27,86,3.9
Armenia,21,179,11,3.8
Bolivia,167,41,8,3.8
Nicaragua,78,118,1,3.5
Jamaica,82,97,9,3.4
Liberia,19,152,2,3.1
Honduras,69,98,2,3
United Arab Emirates,16,135,5,2.8
Lesotho,82,29,0,2.8
Mauritius,98,31,18,2.6
Samoa,105,18,24,2.6
Israel,63,69,9,2.5
Guinea-Bissau,28,31,21,2.5
Zambia,32,19,4,2.5
Uzbekistan,25,101,8,2.4
Kyrgyzstan,31,97,6,2.4
Gambia,8,0,1,2.4
Micronesia,62,50,18,2.3
DR Congo,32,3,1,2.3
India,9,114,0,2.2
Sri Lanka,16,104,0,2.2
Turkmenistan,19,71,32,2.2
Guatemala,53,69,2,2.2
El Salvador,52,69,2,2.2
Cambodia,57,65,1,2.2
Bahrain,42,63,7,2
Fiji,77,35,1,2
Vietnam,111,2,1,2
Lebanon,20,55,31,1.9
Kenya,58,22,2,1.8
Ghana,31,3,10,1.8
Central African Republic,17,2,1,1.8
Sudan,8,13,0,1.7
Congo,76,1,9,1.7
Papua New Guinea,44,39,1,1.5
Singapore,60,12,11,1.5
Malawi,8,11,1,1.5
Turkey,51,22,7,1.4
Azerbaijan,21,46,5,1.3
Mozambique,47,18,5,1.3
Tunisia,51,3,20,1.3
Togo,36,2,19,1.3
Solomon Islands,56,11,1,1.2
Djibouti,15,44,3,1.1
Tonga,36,21,5,1.1
Benin,34,4,13,1.1
Tuvalu,6,41,9,1
Syria,5,35,16,1
Kiribati,21,34,1,1
Nauru,49,0,8,1
Qatar,1,42,7,0.9
Vanuatu,21,18,11,0.9
Madagascar,26,15,4,0.8
Oman,22,16,1,0.7
Algeria,25,0,14,0.7
Ethiopia,20,3,0,0.7
Brunei,31,2,1,0.6
Mali,5,1,1,0.6
Jordan,6,21,1,0.5
Morocco,12,6,10,0.5
Eritrea,18,0,0,0.5
Chad,15,1,1,0.4
Bhutan,23,0,0,0.4
Tajikistan,2,15,0,0.3
Malaysia,13,4,0,0.3
Senegal,9,1,7,0.3
Nepal,5,6,0,0.2
Egypt,6,4,1,0.2
Iraq,9,3,0,0.2
Guinea,9,0,2,0.2
Saudi Arabia,0,5,0,0.1
Comoros,1,3,1,0.1
Niger,3,2,1,0.1
Timor-Leste,1,1,4,0.1
Indonesia,5,1,0,0.1
Myanmar,5,1,0,0.1
Yemen,6,0,0,0.1
Afghanistan,0,0,0,0
Bangladesh,0,0,0,0
North Korea,0,0,0,0
Iran,0,0,0,0
Kuwait,0,0,0,0
Libya,0,0,0,0
Maldives,0,0,0,0
Marshall Islands,0,0,0,0
Mauritania,0,0,0,0
Monaco,0,0,0,0
Pakistan,0,0,0,0
San Marino,0,0,0,0
Somalia,0,0,0,0